#multi: 4
	mass A		mass B		
t	x	y	x	y	
0.000000E0			9.822006E1	-4.831613E2
1.666451E-2	4.323396E1	-2.808319E2	9.820817E1	-4.831580E2
3.332902E-2	4.239526E1	-2.807836E2	9.671289E1	-4.834166E2
4.999353E-2	4.093711E1	-2.806513E2	9.442421E1	-4.837822E2
6.665804E-2	3.939041E1	-2.809533E2	9.176089E1	-4.837908E2
8.332256E-2	3.750883E1	-2.810460E2	8.704182E1	-4.843636E2
9.998707E-2	3.584320E1	-2.814611E2	8.268216E1	-4.853284E2
1.166516E-1	3.344334E1	-2.819378E2	7.781148E1	-4.866551E2
1.333161E-1	3.116458E1	-2.828239E2	7.204837E1	-4.879771E2
1.499806E-1	2.802843E1	-2.831977E2	6.577955E1	-4.896261E2
1.666451E-1	2.448570E1	-2.830666E2	5.816320E1	-4.905805E2
1.833096E-1	2.165102E1	-2.835260E2	5.016948E1	-4.913596E2
1.999741E-1	1.800965E1	-2.840571E2	4.210940E1	-4.924758E2
2.166386E-1	1.427083E1	-2.839866E2	3.346746E1	-4.926621E2
2.333032E-1	1.041145E1	-2.840387E2	2.422176E1	-4.938327E2
2.499677E-1	6.441773E0	-2.839586E2	1.471595E1	-4.942007E2
2.666322E-1	2.506666E0	-2.839471E2	4.669832E0	-4.943798E2
2.832967E-1	-1.418867E0	-2.839226E2	-4.331203E0	-4.946301E2
2.999612E-1	-5.142288E0	-2.837289E2	-1.473433E1	-4.943793E2
3.166257E-1	-9.649922E0	-2.835003E2	-2.376784E1	-4.941805E2
3.332902E-1	-1.298686E1	-2.836159E2	-3.316496E1	-4.934257E2
3.499547E-1	-1.653125E1	-2.833768E2	-4.219896E1	-4.926314E2
3.666192E-1	-1.972192E1	-2.833167E2	-5.035025E1	-4.920673E2
3.832838E-1	-2.279740E1	-2.832648E2	-5.868606E1	-4.908246E2
3.999483E-1	-2.642045E1	-2.824337E2	-6.583328E1	-4.901476E2
4.166128E-1	-2.870624E1	-2.824162E2	-7.222114E1	-4.894842E2
4.332773E-1	-3.105873E1	-2.818759E2	-7.825915E1	-4.884500E2
4.499418E-1	-3.364974E1	-2.816667E2	-8.403837E1	-4.874684E2
4.666063E-1	-3.558427E1	-2.815987E2	-8.849741E1	-4.867748E2
